iter	Passed	Remaining
0	59	59130
1	59	29652
2	59	19839
3	59	14922
4	60	11967
5	60	10000
6	60	8595
7	60	7541
8	61	6719
9	61	6062
10	61	5529
11	61	5088
12	62	4710
13	62	4385
14	62	4108
15	62	3860
16	63	3643
17	63	3449
18	63	3274
19	63	3118
20	63	2977
21	64	2848
22	64	2733
23	64	2628
24	64	2529
25	65	2437
26	65	2351
27	65	2272
28	65	2199
29	65	2131
30	66	2067
31	66	2007
32	66	1952
33	66	1899
34	67	1849
35	67	1802
36	67	1758
37	67	1716
38	68	1676
39	68	1638
40	68	1601
41	68	1566
42	68	1533
43	69	1502
44	69	1472
45	69	1444
46	69	1416
47	70	1390
48	70	1364
49	70	1340
50	70	1316
51	70	1294
52	71	1272
53	71	1252
54	71	1232
55	71	1212
56	72	1193
57	72	1176
58	72	1158
59	72	1141
60	73	1125
61	73	1109
62	73	1094
63	73	1079
64	74	1065
65	74	1051
66	74	1037
67	74	1026
68	75	1014
69	75	1001
70	75	989
71	75	977
72	76	965
73	76	954
74	76	943
75	76	933
76	76	922
77	77	912
78	77	903
79	77	893
80	78	885
81	78	876
82	78	865
83	78	858
84	79	850
85	79	842
86	79	833
87	79	825
88	79	818
89	80	811
90	80	803
91	80	796
92	80	789
93	81	782
94	81	776
95	81	769
96	81	763
97	82	757
98	82	750
99	82	744
100	82	738
101	83	731
102	83	726
103	83	721
104	84	716
105	84	710
106	84	704
107	84	699
108	84	693
109	85	688
110	85	683
111	85	678
112	85	672
113	85	667
114	86	663
115	86	658
116	86	652
117	86	648
118	86	643
119	87	639
120	87	634
121	87	629
122	87	625
123	87	621
124	88	616
125	88	612
126	88	608
127	88	604
128	88	600
129	89	596
130	89	592
131	89	589
132	89	585
133	90	582
134	90	578
135	90	575
136	90	572
137	91	569
138	91	566
139	91	563
140	91	560
141	92	556
142	92	553
143	92	549
144	92	546
145	92	543
146	93	540
147	93	537
148	93	534
149	93	531
150	94	528
151	94	526
152	94	523
153	94	520
154	94	517
155	95	514
156	95	511
157	95	509
158	95	506
159	96	504
160	96	501
161	96	498
162	96	496
163	96	493
164	97	491
165	97	488
166	97	486
167	97	484
168	97	481
169	98	479
170	98	477
171	98	474
172	98	472
173	99	470
174	99	467
175	99	466
176	99	463
177	99	461
178	100	459
179	100	457
180	100	455
181	100	453
182	101	451
183	101	449
184	101	447
185	101	446
186	102	444
187	102	442
188	102	440
189	102	438
190	103	436
191	103	434
192	103	433
